slug,provider,offer,actionButtons,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance
abdk,ABDK,,"[""[Website](https://abdk.consulting/portfolio)""]","[""Blockchain Consulting"",""Crypto Consulting"",""Smart Contract Audit"",""Security Audit""]","Founded in 2016, ABDK is a top Web3 security provider specializing in smart contract audits and zero-knowledge circuit audits. They have audited DeFi protocols, crafted Solidity libraries, and consulted dozens of clients",Enterprise,,Custom,FALSE,FALSE,Audits,Web app,"EVM (Solidity), Rust, ZK","[""smart contracts"",""DeFi protocols"",""zero knowledge circuits"",""cryptographic schemes and protocols""]",
aderyn,Cyfrin,Aderyn,"[""[Docs](https://aderyn.cyfrin.io/overview)"",""[GitHub](https://github.com/Cyfrin/aderyn)""]","[""Smart contract security"",""Static analysis"",""Custom detectors"",""Open source""]",Open-source Solidity static analyzer that detects smart contract vulnerabilities and supports custom detectors.,Free,,$0,FALSE,FALSE,Static analyzer,CLI,Solidity,"[""smart contracts""]",
aegis-web3,AegisWeb3,,"[""[Website](https://www.aegisweb3.com/)""]","[""Anti-Phishing"",""Transaction Simulation"",""Scam Token Detection"",""Smart Contract Examination""]","Real-time browser extension that protects users from scam tokens, phishing sites, and risky transactions across multiple blockchains. Incubated by PeckShield.",Free,,$0,FALSE,FALSE,"Anti-Phishing, Anti-Scam, Anti-Hacking tool",Web app,EVM,"[""Phishing site detection"",""Real-time scam token detection"",""Transaction simulation"",""Risky approval inspection""]",
audit-base-pay-as-you-go,AuditBase,,"[""[Website](https://www.auditbase.com/pricing)""]","[""Smart Contract Audit"",""Web3 Security"",""Blockchain security"",""Solidity Audit"",""Vulnerability Scanner""]","AuditBase is a smart contract audit tool offering three-layer automated analysis (static analysis, symbolic execution, AI reasoning) with compliance-ready output. Trusted by institutional teams managing $50B+ in digital assets across 500+ protocols. Provides quantified risk scores, MiCA documentation, and SOC 2 compliance.",Pay-as-you-go,,$1/credit,FALSE,FALSE,Audit,Web App,"Solidity, Move, Cairo, Vyper, Rust","[""Static Analysis"",""Symbolic Execution"",""AI Reasoning"",""Automated Smart Contract Scanning"",""Pre-Deployment Analysis"",""Compliance Reporting""]","[""SOC 2"",""MiCA""]"
audit-base-pro,AuditBase,,"[""[Website](https://www.auditbase.com/pricing)""]","[""Smart Contract Audit"",""Web3 Security"",""Blockchain security"",""Solidity Audit"",""Vulnerability Scanner""]","AuditBase is a smart contract audit tool offering three-layer automated analysis (static analysis, symbolic execution, AI reasoning) with compliance-ready output. Trusted by institutional teams managing $50B+ in digital assets across 500+ protocols. Provides quantified risk scores, MiCA documentation, and SOC 2 compliance.",Tiered,Pro,$149/mo,FALSE,FALSE,Audit,Web App,"Solidity, Move, Cairo, Vyper, Rust","[""Static Analysis"",""Symbolic Execution"",""AI Reasoning"",""Automated Smart Contract Scanning"",""Pre-Deployment Analysis"",""Compliance Reporting"",""Continuous Monitoring"",""Real-time Alerts""]","[""SOC 2"",""MiCA""]"
audit-base-starter,AuditBase,,"[""[Website](https://www.auditbase.com/pricing)""]","[""Smart Contract Audit"",""Web3 Security"",""Blockchain security"",""Solidity Audit"",""Vulnerability Scanner""]","AuditBase is a smart contract audit tool offering three-layer automated analysis (static analysis, symbolic execution, AI reasoning) with compliance-ready output. Trusted by institutional teams managing $50B+ in digital assets across 500+ protocols. Provides quantified risk scores, MiCA documentation, and SOC 2 compliance.",Tiered,Starter,$49/mo,FALSE,FALSE,Audit,Web App,"Solidity, Move, Cairo, Vyper, Rust","[""Static Analysis"",""Symbolic Execution"",""AI Reasoning"",""Automated Smart Contract Scanning"",""Pre-Deployment Analysis"",""Compliance Reporting""]","[""SOC 2"",""MiCA""]"
audit-base-team,AuditBase,,"[""[Website](https://www.auditbase.com/pricing)""]","[""Smart Contract Audit"",""Web3 Security"",""Blockchain security"",""Solidity Audit"",""Vulnerability Scanner""]","AuditBase is a smart contract audit tool offering three-layer automated analysis (static analysis, symbolic execution, AI reasoning) with compliance-ready output. Trusted by institutional teams managing $50B+ in digital assets across 500+ protocols. Provides quantified risk scores, MiCA documentation, and SOC 2 compliance.",Tiered,Team,$399/mo,FALSE,FALSE,Audit,Web App,"Solidity, Move, Cairo, Vyper, Rust","[""Static Analysis"",""Symbolic Execution"",""AI Reasoning"",""Automated Smart Contract Scanning"",""Pre-Deployment Analysis"",""Compliance Reporting"",""Continuous Monitoring"",""Real-time Alerts"",""Team Collaboration""]","[""SOC 2"",""MiCA""]"
beosin-kyt,Beosin,KYT,"[""[Website](https://beosin.com/solutions/kyt)""]","[""Web3 Security"",""KYT"",""Compliance"",""AML""]","Know Your Transaction (KYT) compliance platform to monitor risk, trace illicit fund flows, and assist in anti-money laundering (AML) for Web3.",Enterprise,,Custom,FALSE,FALSE,Monitoring,Web app,TBD,"[""transactions"",""addresses""]","[""SOC 2"",""ISO 27001""]"
beosin-smart-contract-audit,Beosin,,"[""[Website](https://beosin.com/solutions/smart-contract-audit)""]","[""Web3 Security"",""Smart Contract Audits"",""Formal Verification""]","Comprehensive smart contract auditing services leveraging formal verification, static analysis, and manual review to identify vulnerabilities.",Enterprise,,Custom,FALSE,FALSE,Audits,TBD,TBD,"[""smart contracts"",""dApps""]","[""SOC 2"",""ISO 27001""]"
beosin-trace,Beosin,Trace,"[""[Website](https://beosin.com/solutions/trace)""]","[""Web3 Security"",""Fund Tracking"",""Incident Response"",""Investigation""]","Advanced crypto tracking and investigation tool to visualize fund flows, track stolen assets, and investigate blockchain incidents.",Enterprise,,Custom,FALSE,FALSE,Security,Web app,TBD,"[""transactions"",""addresses"",""wallets""]","[""SOC 2"",""ISO 27001""]"
blockaid,Blockaid,,"[""[Website](https://www.blockaid.io/)""]","[""Web3 security"",""Smart contract security"",""Onchain Security""]","It is the real-time detection platform purpose-built for web3 builders and operators to measure performance, mitigate risk, and prevent theft",Enterprise,,Custom,FALSE,FALSE,"Threat Detection","Web app",,"[""Crypto Fraud Prevention"",""Compliance & AML""]",
blocksec-phalcon,Blocksec Phalcon,,"[""[Website](https://blocksec.com/phalcon/security)""]","[""Web3 security"",""Smart contract security"",""Blockchain security""]","It provides a suite of developer tools focused on real-time security monitoring, automated attack blocking, and deep transaction analysis for Web3 projects and decentralized finance protocols",Pay-as-you-go,,$1.2K-$7.1K,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
blowfish-enterprise,Blowfish,,"[""[Website](https://blowfish.xyz/)""]","[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,Enterprise,,Custom,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
blowfish-free,Blowfish,,"[""[Website](https://blowfish.xyz/)""]","[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,Free,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
borg-security,Borgsecurity,,"[""[Website](https://www.borghq.io/)""]","[""Security Infrastructure"",""Threat Management"",""Penetration Testing"",""Risk management"",""Zero-Day Research""]","It protect data, capital, and critical infrastructure for teams that cannot afford failure",Enterprise,,Custom,FALSE,FALSE,Penetration Testing,TBD,,"[""smart contracts"",""blockchain protocols"",""decentralized applications"",""API and backend systems"",""wallet and authentication integrations""]",
