slug,name,logoPath,description,website,docs,x,github,discord,telegram,linkedin,supportEmail,starred,tag
0xcert,0xCert,0xcert.png,"JavaScript framework for building decentralized applications that create, manage, and transfer non-fungible tokens and fungible tokens across multiple blockchains using a conventions-based interoperability API.",,,,0xcert/framework,,,,,FALSE,
0xppl,0xPPL,0xppl.png,"Onchain portfolio tracker and social platform enabling users to monitor multichain positions, execute trades, and discover top onchain moves","https://0xppl.com/",,0xppl_,,,BT06Fh0aqjpjMDk8,,,FALSE,
0xrpc,0xrpc,0xrpc.png,"Lightweight Ethereum RPC endpoint provider with load balancing and fallback infrastructure for developers","https://0xrpc.github.io/","https://0xrpc.github.io/",,0xRPC,,,,,FALSE,
1inch,1inch,1inch.png,"Decentralized exchange aggregator and wallet offering multi-chain token swaps and limit orders with best-rate routing","https://1inch.com/","https://business.1inch.com/portal/documentation/overview/welcome",1inch,1inch,invite/1inch,OneInchNetworkNews,company/1inchcom,,FALSE,
1money,1Money,1money.png,"Stablecoin payments platform providing fiat-to-stablecoin on-ramps, off-ramps, custody, and cross-border settlement across multiple blockchain networks.","https://1money.com/","https://developer.1money.com/docs/what-is-the-1money-platform",1MoneyNetwork,1Money-Co,,,company/1money,support@1Money.com,FALSE,
1rpc,1rpc,1rpc.png,TEE-attested RPC relay providing privacy-preserving access to blockchain networks through Trusted Execution Environments,"https://www.1rpc.io","https://docs.1rpc.io/llm-relay/overview",,,,,,,FALSE,
2miners,2Miners,2miners.png,"Multi-coin cryptocurrency mining pool supporting GPU and ASIC miners with PPLNS and SOLO payout modes, Nicehash compatibility, automated rig monitoring via Telegram, and DDOS-protected servers in Europe, US, and Asia.","https://2miners.com/","https://apidoc.2miners.com/",pool2miners,2miners,,chat2miners,,support@2miners.com,FALSE,
3xpl,3xpl,3xpl.png,"Universal blockchain block explorer with consistent formatting across multiple blockchains, optimized for fast performance and comprehensive chain coverage.","https://3xpl.com/",,3xplcom,3xplcom,,,,,FALSE,
4everland,4everland,4everland.png,"Web3 cloud computing platform offering AI solutions, decentralized hosting, storage, gateway, RPC, and rollup-as-a-service (RaaS) infrastructure for dApps and blockchain developers.","https://www.4everland.org/","https://docs.4everland.org/get-started/billing-and-pricing/pricing-model",4everland_org,4everland,invite/Cun2VpsdjF,org_4everland,,contact@4everland.org,FALSE,
99faucet,99faucet,99faucet.png,Cryptocurrency faucet platform providing free token claims and rewards for Web3 users,"https://99faucet.com/",,,,,,,,FALSE,
a16z-crypto,a16z crypto,a16z-crypto.png,"Crypto-focused venture fund and research organization supporting blockchain startups through investment, engineering, security research, open-source tools, governance, and infrastructure.","https://a16zcrypto.com/",,a16zcrypto,a16z,,,showcase/a16zcrypto,,FALSE,
aa-bundler,AA Bundler,aa-bundler.png,ERC-4337 account abstraction bundler implementation in Rust (Silius) that validates and bundles UserOperations from the alternative mempool into transactions submitted to the EntryPoint contract.,,,,Vid201/aa-bundler,,,,,FALSE,
aarc,Aarc,aarc.png,"Modular omnichain infrastructure for Web3 applications, providing tools for asset bridging and multi-chain deposits","https://www.aarc.xyz/","https://docs.aarc.xyz/introduction",0xAarc,aarc-xyz,,,,,FALSE,
