slug,provider,offer,actionButtons,toolType,description,tag,planType,planName,price,trial,availableApis,executionEnvironment
4everland-free,4everland,,"[""[Website](https://www.4everland.org/)""]",Hosting,"It provides developers with a suite of tools and infrastructure to build, deploy, and host decentralized applications","[""Storage"",""IPFS"",""Decentralized""]",Free,,$0,FALSE,,
4everland-pay-as-you-go,4everland,,"[""[Docs](https://docs.4everland.org/get-started/billing-and-pricing/pricing-model)""]",Hosting,"It provides developers with a suite of tools and infrastructure to build, deploy, and host decentralized applications","[""Storage"",""IPFS"",""Decentralized""]",Pay-As-You-Go,,Custom,FALSE,,
algokit,Algorand,AlgoKit,"[""[Website](https://algorand.co/algokit)"",""[Docs](https://dev.algorand.co/algokit/algokit-intro/)""]",All in one,"Integrated developer platform for building Algorand applications with Python and TypeScript smart contracts, project templates, LocalNet testing, deployment tooling, Lora, debugging, and TestNet funding workflows.","[""CLI"",""SDK"",""Testing"",""Smart Contracts""]",Free,,$0,FALSE,"[""AlgoKit Dispenser API""]",AVM
apeworx,ApeWorx,,"[""[Docs](https://docs.apeworx.io/)""]",Hosting,"It provides a suite of Python-based, modular tools for Web3 developers to build, test, and deploy smart contracts and automated applications across various blockchain networks","[""Web3"",""CLI"",""Smart Contracts""]",Custom,,Custom,FALSE,,
apillon-the-caterpillar,Apillon,,"[""[Buy](https://apillon.io/pricing)""]",TBD,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services","[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",Tiered,The Caterpillar,$19.90/mo,FALSE,,
apillon-the-cocoon,Apillon,,"[""[Buy](https://apillon.io/pricing)""]",TBD,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services","[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",Tiered,The Cocoon,$79.9/mo,FALSE,,
apillon-the-egg,Apillon,,"[""[Website](https://apillon.io/)""]",TBD,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services","[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",Free,The Egg,$0,FALSE,,
cometh,Cometh,,"[""[Website](https://cometh.io/)""]",All in one,"It provides an API and SDK, smart contract development tools, and abstractions of complex backend infrastructure to help development teams focus on user experience","[""Web3 game development"",""Blockchain game development"",""dApp development tools""]",Enterprise,,Custom,FALSE,,
defi-builder,DeFi Builder,,"[""[Website](https://app.defibuilder.com)""]",No code,"It provides a suite of AI-powered, no-code development tools that enable developers and non-technical users to generate, audit, and deploy various decentralized applications and smart contracts on multiple blockchain networks","[""No-code"",""SaaS"",""Web3 Development""]",Enterprise,,Custom,FALSE,,
dynamic-enterprise,Dynamic,,"[""[Contact](https://calendly.com/nmendoza-fireblocks/dynamic?month=2026-01)""]",Auth,"It provides a suite of developer tools, primarily an SDK, to help integrate Web3 authentication, user management and non-custodial wallet infrastructure into applications","[""Software Development Tools"",""Application Development Tools"",""Platform as a Service"",""Integrated Development Environment""]",Enterprise,,Custom,FALSE,,
dynamic-growth,Dynamic,,"[""[Buy](https://www.dynamic.xyz/pricing)""]",Auth,"It provides a suite of developer tools, primarily an SDK, to help integrate Web3 authentication, user management and non-custodial wallet infrastructure into applications","[""Software Development Tools"",""Application Development Tools"",""Platform as a Service"",""Integrated Development Environment""]",Tiered,Growth,$249/mo,FALSE,,
dynamic-launch,Dynamic,,"[""[Website](https://www.dynamic.xyz/)""]",TBD,"It provides a suite of developer tools, primarily an SDK, to help integrate Web3 authentication, user management and non-custodial wallet infrastructure into applications","[""Software Development Tools"",""Application Development Tools"",""Platform as a Service"",""Integrated Development Environment""]",Free,Launch,$0,FALSE,,
enso,Enso,,"[""[Website](https://www.enso.build/)""]",No code,It is described as a blockchain development framework and shared execution network designed to simplify the creation of cross-chain applications by providing developers with tools like reusable Actions and Shortcuts,"[""Data analysis"",""Visual programming"",""Web3/blockchain development""]",Free,,$0,FALSE,,
kriptonio-enterprise,Kriptonio,,"[""[Contact](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Auth,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols","[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",Enterprise,,Custom,FALSE,,
kriptonio-free,Kriptonio,,"[""[Website](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Auth,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols","[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",Free,,$0,FALSE,,
