slug,provider,offer,actionButtons,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
acurast,Acurast,,"[""[Docs](https://docs.acurast.com/)""]",Custom,FALSE,"[""Fetching Arbitrary Data"",""Compatibility with WASM and EVM"",""Price Feed""]","[""Real time price feeds""]","[""Active oracle model"",""Cross-chain functionality"",""Modular execution layer"",""Application layer support""]","[""Verifiable randomness""]",Decentralized,FALSE,Based on its tokenomics and staking mechanism involving the ACU token,"[""TypeScript"",""Solidity"",""JavaScript""]","[""Acurast Chain Audit by Monethic, covering the Acurast Substrate and Pallets (2025)"",""Acurast Token Smart Contract Audit by inference for the ACU ERC20 Token Contract for EVM deployments (2025)""]",
api3,API3,,"[""[Website](https://api3.org/)"",""[Docs](https://docs.api3.org/)""]",Push & Pull Oracle,FALSE,"[""Price Feeds"",""QRNG"",""Airnode"",""dAPIs""]","[""Feed health dashboard""]","[""Quantum RNG""]","[""Asset Prices"",""Randomness""]",Decentralized,TRUE,First‑party dAPI model,"[""TypeScript"",""Solidity""]","[""OEV RFP Security Assessment (Compound/Commonwealth audit, Jun 2025)"",""Quantstamp audit of API3 Data Feed Proxy Combinators (2024)"",""Internal audit of Airnode and first‑party infrastructure (2023)""]",
band,Band Protocol,,"[""[Website](https://www.bandprotocol.com/)"",""[Docs](https://docs.bandchain.org/)""]",Cross-chain Oracle,FALSE,"[""Oracle Scripts"",""IBC Feeds""]","[""Validator Performance""]","[""IBC compatibility"",""Flexible scripting""]","[""Token Prices"",""ASTR"",""ATOM"",""AVAX"",""BNB"",""BUSD"",""DAI"",""DOT"",""ETH"",""FTM"",""MATIC"",""SOL"",""USDC"",""USDT"",""WBTC""]",Delegated Proof-of-Stake,TRUE,Cosmos-based staking model,"[""CosmJS"",""Solidity""]","[""CertiK""]",
chainlink,Chainlink,,"[""[Website](https://chain.link/)"",""[Docs](https://docs.chain.link/)""]",Decentralized Oracle,FALSE,"[""Price Feed"",""VRF"",""Proof of Reserve""]","[""Node performance metrics""]","[""Economic Aggregation"",""Cross-chain support""]","[""Asset Prices"",""Randomness""]",Decentralized,TRUE,"Audited network, high TVL","[""TypeScript"",""Solidity""]","[""Trail of Bits (Jul 2024)"",""OpenZeppelin (Sep 2024)"",""ChainSecurity (Mar 2024)"",""Code4rena (Nov 2024)"",""Quantstamp"",""SigmaPrime""]",
chronicle,Chronicle Protocol,,,Decentralized Oracle,FALSE,"[""Price Feeds""]","[""Reporter performance tools""]","[""Scalable reporter model"",""Forked from Maker oracle""]","[""Asset Prices""]",Decentralized,TRUE,Maker‑inspired model,"[""Solidity""]","[""ChainSecurity (Scribe audit, Aug 2023)"",""Cantina Reviews (Oracle infrastructure audit, Oct–Nov 2023)"",""ABDK (code review of core components, 2023)"",""Spearbit (security review of Scribe architecture, 2023)"",""Bug bounty program via Cantina (ongoing from Jun 2024)""]",
dia,DIA,,"[""[Website](https://www.diadata.org/)"",""[Docs](https://www.diadata.org/docs/home)""]",DIA,FALSE,"[""REST"",""GraphQL""]","[""Real-time Price Feeds""]","[""Cross-chain compatibility"",""Customizable data feeds"",""Customizable data feeds"",""Advanced architecture using Layer 2 rollup""]","[""BTC"",""DIA"",""USDC""]",Decentralized,FALSE,Explicitly state in their terms and conditions that using their price feeds is a user's risk,"[""Solidity"",""Vyper""]","[""April 2025, by MixBytes"",""May 2022, by Chainsulting""]",
fdc,Flare,FDC,"[""[Docs](https://dev.flare.network/fdc/getting-started)""]",Attestation Oracle,FALSE,"[""Attestations"",""Smart Contracts"",""DA Layer API""]",,"[""Merkle proofs"",""Cross-chain verification"",""Web2Json support""]","[""Cross-chain transactions"",""Web2 API data"",""Address validity"",""Block height attestations""]",Decentralized,TRUE,Enshrined Flare protocol with provider consensus and onchain proof verification,"[""Solidity""]","[""Coinspect"",""FYEO""]",
ftso,Flare,FTSO,"[""[Docs](https://dev.flare.network/ftso/getting-started)""]",Price Feed Oracle,FALSE,"[""Price Feed""]","[""Flare Systems Explorer""]","[""Block-latency feeds"",""Historical data"",""Custom feeds""]","[""Asset Prices"",""Equities"",""Commodities""]",Decentralized,TRUE,Delegated stake model with independent data providers,"[""Solidity""]","[""Coinspect"",""FYEO"",""Halborn""]",
gelato,Gelato,,,Randomness Oracle,FALSE,"[""VRF"",""Web3 Functions""]","[""Monitoring Dashboard"",""Logs & Status API""]","[""First 10k VRF requests/month subsidized"",""Drand-based randomness""]","[""Randomness""]",Decentralized,FALSE,Cryptographic verifiability via drand/BLS; no staking/slashing,"[""TypeScript"",""Solidity""]","[""None Public""]",
goracle,Gora,Gora Oracle,"[""[Docs](https://github.com/GoraNetwork)""]",Custom,FALSE,"[""REST API""]","[""Decentralized node monitoring"",""Ecosystem rewards""]","[""Industry-specific fully customizable oracle solution"",""multiple industry templates""]","[""Financial data"",""Sports stats"",""Supply chain milestones"",""Healthcare metrics""]",Decentralized,TRUE,Node runners secured by token delegation and governance on Algorand blockchain,"[""TypeScript"",""Python"",""JavaScript"",""CSS"",""Cairo""]",,
lightecho,LightEcho,LightEcho,"[""[Website](https://lightecho.io/)""]",Soroban Smart Contract Oracle,FALSE,"[""Price Feed"",""Event Triggers""]","[""Real-time Price Feeds"",""StellarExpert""]","[""Emerging Market Data"",""Volatility Feeds"",""Free Access""]","[""Cryptocurrency Prices"",""Volatility Data""]",Decentralized,TRUE,Secured by Stellar SCP and decentralized data sources,"[""Python"",""JavaScript""]","[""Audit by Runtime Verification, 2023""]",
ora,ORA,,,AI‑powered Oracle,FALSE,"[""AI Data"",""Price Feed""]","[""Performance dashboard""]","[""AI-based feeds""]","[""Asset Prices"",""AI metrics""]",Decentralized,TRUE,"Enterprise‑grade ORAI protocol audited by CertiK, OpenZeppelin","[""TypeScript"",""Solidity""]","[""Certik (2024)""]",
orochi,Orochi Network,,"[""[Website](https://orochi.network/)"",""[Docs](https://docs.orochi.network/)""]",Decentralized Oracle,FALSE,"[""Price Feeds"",""VRF""]","[""Monitoring dashboard"",""Oracle feeds explorer""]","[""ECVRF-based randomness"",""Batching & flexible submission"",""Validity proofs for all oracle data""]","[""Price Feeds"",""Randomness""]",Decentralized,FALSE,Cryptographic validity proofs (Orocle) + ECVRF proofs (Orand); no staking/slashing model,"[""Solidity""]","[""None Public""]",
protofire,Protofire,,"[""[Website](https://protofire.io/services/oracle-integration/)""]",Chainlink-compatible,FALSE,,,"[""AggregatorV3Interface compatibility"",""VRF""]","[""Asset Prices"",""Randomness""]",Decentralized,FALSE,,,,
pyth,Pyth Network,,"[""[Docs](https://docs.pyth.network/)""]",Pull Oracle,FALSE,"[""Asset Price Feeds (incl. ARB/USD)""]","[""Real time price feeds""]","[""Cross‑chain via Wormhole""]","[""Asset Prices"",""FX"",""Metals""]",Decentralized,TRUE,Data from top-tier liquidity providers audited,"[""Solidity"",""Python SDK""]","[""Trail of Bits (2023)"",""Certik (2022)""]",
quex,Quex,,"[""[Website](https://quex.tech/)"",""[Docs](https://docs.quex.tech/)""]",Decentralized Oracle,FALSE,"[""Price Feed""]","[""Basic metrics""]","[""Economic aggregation""]","[""Asset Prices""]",Decentralized,TRUE,Unsigned — early stage,"[""Solidity""]","[""Halborn Security (Full audit of smart contracts)"",""Cantina security review (Infrastructure integration audit, late 2024)"",""Bug bounty program ongoing (via Discord / Cantina, from mid‑2025)""]",
redstone,RedStone,,"[""[Docs](https://docs.redstone.finance/)""]",Modular Oracle,FALSE,"[""Price Feeds"",""Custom Data""]","[""Custom Delivery Monitoring""]","[""Data Packaging"",""Gas-efficient delivery"",""Smart contract plugins""]","[""Token Prices"",""Custom External Data""]",Hybrid,TRUE,"Slashing, incentives through data availability and reputation","[""JavaScript"",""Solidity""]","[""Trail of Bits"",""Audit by PeckShield, 2023""]",
reflector,Reflector,Reflector,"[""[Docs](https://reflector.network/docs)""]",Consensus-based Oracle,FALSE,"[""Price Feed"",""Custom Triggers""]","[""Real-time Price Feeds"",""StellarExpert""]","[""Custom Triggers"",""On-chain/Off-chain Data""]","[""Cryptocurrency Prices"",""Exchange Rates""]",Decentralized,TRUE,Secured by trusted Stellar ecosystem nodes,"[""JavaScript""]","[""Audit by Quantstamp, 2023""]",
scry-protocol,Scry Protocol,Scry Protocol,"[""[Website](https://scry.finance/)"",""[Docs](https://docs.scry.finance/docs)""]",Morpheus / Open Oracle Framework,FALSE,,,"[""No-Code Oracle Deployment"",""Arbitrary API Requests"",""Custom Signer Sets"",""Cross-chain EVM Lookup"",""Feed Monetization"",""VRF"",""Historical Feed Data""]","[""Asset Prices"",""Arbitrary API Data"",""Cross-chain Contract Data"",""Randomness"",""String Data""]",Decentralized,TRUE,SCRY collateral staking and oracle slashing,,,
seda,SEDA,SEDA,"[""[Website](https://www.seda.xyz/)"",""[Docs](https://docs.seda.xyz/home/developer)""]",Programmable Oracle,FALSE,"[""REST"",""WebSocket""]","[""Network Usage Analytics""]","[""Programmable Oracle Programs"",""Public and Private Data Sources"",""Custom Aggregation Logic"",""Cross-chain Delivery"",""Low-latency SEDA FAST""]","[""Crypto Assets"",""Equities"",""Commodities"",""Indices"",""Pre-IPO Markets"",""Prediction Markets"",""Custom Data""]",Decentralized,TRUE,PoS validator staking and slashing,"[""Rust"",""TypeScript""]","[""Trail of Bits (Mar 2024)"",""Sherlock (Apr 2025)""]",
stork,Stork,Stork,"[""[Website](https://www.stork.network/)"",""[Docs](https://docs.stork.network/)""]",Pull Oracle,FALSE,"[""REST"",""WebSocket""]","[""Pushed Asset Tracking""]","[""Sub-second Updates"",""Automated On-chain Delivery"",""Cryptographic Verification"",""First-party Feeds"",""Custom Data Support""]","[""Real-time Price Feeds"",""Historical Market Data"",""Prediction Market Data"",""Arbitrary Data""]",Hybrid,FALSE,,"[""Solidity"",""Rust"",""Move""]","[""Zellic (Jun 2026, Sui)""]",
supra,Supra,,"[""[Website](https://supra.com/)"",""[Docs](https://docs.supra.com/oracles)""]",Decentralized Oracle,FALSE,"[""Price Feed"",""VRF"",""REST""]","[""Real-time Dashboard""]","[""High-speed oracle data with low-latency feeds""]","[""Price Feeds"",""Randomness""]",Decentralized,TRUE,Validator node network with cryptographic proofs,"[""TypeScript""]","[""Audited by Halborn Security (2023)""]",
switchboard,Switchboard,,"[""[Website](https://switchboard.xyz/)"",""[Docs](https://docs.switchboard.xyz/)""]",Decentralized Oracle,FALSE,"[""Price Feeds"",""Randomness""]","[""Task Monitoring""]","[""Customizable Feeds"",""TEE Support""]","[""JavaScript/TypeScript Libraries"",""Rust Libraries""]",Decentralized,TRUE,TEEs (Trusted Execution Environments) add cryptographic guarantees,"[""TypeScript"",""Rust"",""JavaScript""]","[""OtterSec""]",
tellor,Tellor,,"[""[Website](https://tellor.io/)"",""[Docs](https://docs.tellor.io/tellor)""]",Decentralized Oracle,FALSE,"[""Price Feeds"",""Custom Data""]","[""Data feed explorer""]","[""Permissionless reporting"",""Censorship resistance"",""Dispute mechanism""]","[""Asset Prices""]",Decentralized,TRUE,Staking TRB tokens with dispute and slashing mechanisms,"[""Solidity"",""JavaScript""]","[""CertiK"",""Dedaub"",""PeckShield""]",
uma,UMA,,"[""[Website](https://uma.xyz/)"",""[Docs](https://docs.uma.xyz/)""]",Optimistic Oracle,FALSE,"[""OO API"",""Assertion API""]","[""Vote Challenges""]","[""Dispute resolution"",""Broad data support""]","[""Anything verifiable on-chain""]",Optimistic + Governance,TRUE,Bonding and dispute mechanism,"[""JavaScript"",""Solidity""]","[""OpenZeppelin"",""Sherlock""]",
umbrella-network,Umbrella Network,Umbrella Network,"[""[Docs](https://umbrella-network.github.io/technical-documentation/umbrella-network/docs/getting-started-1.html)""]",Decentralized Oracle Service,FALSE,"[""Blockchain data feeds""]","[""Real-time feeds""]","[""Decentralized crowdsourced data""]","[""Various blockchain data""]",Decentralized,TRUE,Community-based decentralized oracle service,"[""JavaScript""]",,
witnet,Witnet,,"[""[Website](https://witnet.io/)"",""[Docs](https://docs.witnet.io/)""]",Independent Oracle Network,FALSE,"[""Witnet Bridge""]","[""Data verification trace""]","[""Built-in randomness"",""Bridge to EVM""]","[""Token Prices"",""APIs"",""Feeds""]",Proof-of-Work,TRUE,Economic incentives and mining,"[""JavaScript"",""Solidity""]","[""None Public""]",
