slug,provider,offer,actionButtons,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
across,Across,,"[""[Bridge](https://app.across.to/bridge-and-swap)"",""[Docs](https://docs.across.to/)""]",Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Fast bridging"",""Single liquidity pool""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Secured via UMA oracle + relayers,,Decentralized,"[""SDK"",""Web UI""]","[""hyperevm"",""arbitrum one"",""bnb chain"",""base"",""blast"",""ethereum"",""ink"",""lens"",""linea"",""lisk"",""mode"",""optimism"",""polygon"",""redstone"",""scroll"",""solana"",""soneium"",""unichain"",""world chain"",""zora"",""zksync era""]",
allbridge-core,Allbridge Core,,"[""[Bridge](https://core.allbridge.io/)"",""[Docs](https://docs-core.allbridge.io/)""]",Stablecoin Bridge via Native Liquidity,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Transfer""]",,"[""No wrapping"",""Native liquidity pools"",""CEX-to-chain deposits""]","[""Stablecoins"",""ERC-20""]",Gas Fee + protocol fee,TRUE,"Native stablecoin pools, messaging-agnostic","[""Independent audits (per DefiLlama)""]",Decentralized,"[""TypeScript""]","[""arbitrum"",""avalanche"",""base"",""bnb chain"",""celo"",""ethereum"",""linea"",""optimism"",""polygon"",""sonic"",""solana"",""stellar"",""sui"",""tron"",""unichain""]",
alldomains-bridge,AllDomains,Bridge,"[""[Bridge](https://bridge.alldomains.id)"",""[Docs](https://docs.alldomains.id/protocol)""]",Domain & Data Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset & Data Transfer""]",,"[""Bridge Web2 domains to Web3 asset portrait"",""Hyperlink via Hyperlane provider""]","[""NFT""]",Gas Fee,TRUE,Hyperlane‑powered bridge for domain/data between chains,,Decentralized,"[""TypeScript""]","[""ethereum"",""solana"",""sonic svm"",""eclipse""]",
altitude,Altitude,,"[""[Bridge](https://altitudedefi.com/Bridge/)"",""[Docs](https://altitude-1.gitbook.io/altitude/)""]",LayerZero-based Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Built on LayerZero"",""Decentralized routing""]","[""ETH"",""USDC""]",Gas Fee,TRUE,Security via LayerZero DVN & oracle messaging,,Decentralized,"[""Web UI""]","[""ethereum"",""polygon"",""fantom"",""arbitrum"",""optimism"",""linea"",""mantle""]",
arbitrum-native,Arbitrum,,"[""[Bridge](https://portal.arbitrum.io/bridge/)""]",Native,NULL,NULL,TRUE,"[""[Discord](https://discord.com/invite/arbitrum)"",""[Help Center](https://support.arbitrum.io/hc/en-gb)""]",FALSE,"[""Bridge API""]","[""Bridge Transactions"",""Status Monitoring""]","[""Official Arbitrum Bridge"",""Token Tracking"",""USDC Support"",""Cross-chain Governance""]","[""ETH"",""ERC-20"",""USDC""]",Gas Fee,TRUE,Native canonical bridge maintained by Arbitrum,"[""Trail of Bits Nitro Audit"",""OpenZeppelin Bridge & Core Contracts Audit""]",Partially Decentralized,"[""TypeScript""]","[""ethereum mainnet"",""arbitrum one"",""arbitrum nova"",""syndicate network"",""gravity alpha"",""t-rex"",""hychain"",""sx"",""apechain"",""superposition"",""xchain"",""plume mainnet"",""hpp mainnet"",""galactica mainnet"",""humanity mainnet"",""rari network""]",
asterizm,Asterizm,,"[""[Bridge](https://asterizm.io/)"",""[Docs](https://docs.asterizm.io/)""]",Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Messaging""]",,"[""Composable messaging"",""Intent‑based""]","[""ETH"",""USDC""]",Gas Fee + relayer fee,TRUE,Secured by validators and messaging relayers,,Decentralized,"[""Web UI""]","[""ethereum"",""polygon"",""fantom"",""bnb smart chain"",""optimism"",""arbitrum"",""avalanche"",""celo"",""boba"",""aurora"",""venidium"",""bahamut"",""base"",""linea"",""mantle"",""gnosis"",""everscale"",""venom"",""xdc"",""ton"",""solana"",""lemonchain"",""torus"",""areon"",""units"",""redbelley"",""supra""]",
axelar,Axelar,,"[""[Bridge](https://www.axelar.network/)"",""[Docs](https://docs.axelar.dev/)""]",General Message Passing,NULL,NULL,TRUE,"[""Discord"",""Telegram"",""X""]",FALSE,"[""REST"",""GraphQL""]","[""Yes (Axelarscan)""]","[""Cross‑chain Messaging""]","[""wFIL"",""wETH"",""wBTC"",""USDC"",""USDT""]",[Gas Fee](https://support.edge.app/hc/en-us/articles/36422794159387-Axelar-AXL-Network-Fees),TRUE,Proof-of-stake permissionless validator set controls Axelar security protocols,"[""[GitHub](https://github.com/axelarnetwork/audits)""]",Decentralized,"[""TypeScript SDK""]","[""ethereum"",""bitcoin"",""solana"",""arbitrum"",""optimism"",""base"",""bnb chain"",""osmosis"",""agoric"",""akash"",""archway"",""assetmantle"",""avalanche"",""axelar"",""babylon"",""berachain"",""bitcanna"",""bitsong"",""blast"",""carbon"",""celestia"",""celo"",""chain4energy"",""cheqd"",""chihuahua"",""comdex"",""coreum"",""cosmos"",""crescent"",""dchain"",""decentr"",""desmos"",""dydx"",""dymension"",""elys"",""evmos"",""fantom"",""fetch"",""filecoin"",""flippando"",""fraxtal"",""gnosis"",""gravity bridge"",""humans.ai"",""hyperevm"",""immutable"",""impact hub"",""injective"",""irisnet"",""jackal"",""juno"",""kava evm"",""kava ibc"",""ki"",""kujira"",""kyve"",""lava"",""likecoin"",""linea"",""lum network"",""mantle"",""mars hub"",""migaloo"",""moonbeam"", ""neutron"",""ngmi chain"",""nibiru"",""noble"",""nolus"",""omniflix"",""peaq"",""persistence"",""polygon"",""quicksilver"",""regen"",""saga mainnet"",""saga evm"",""scroll"",""secret"",""sei"",""sentinel"",""sommelier"", ""soneium"",""sonic"",""soundmoney"",""stargaze"",""stellar"",""stride"",""sui"",""teritory"",""terra"",""terra classic"",""umee"",""xion"",""xrpl"",""xrpl evm""]",
bungee-exchange,Socket,Bungee,"[""[Bridge](https://www.bungee.exchange/)"",""[Docs](https://docs.socket.tech/)""]",Liquidity Marketplace,,,FALSE,"[""telegram"",""webform""]",FALSE,"[""REST""]","[""SocketScan"",""Transaction status""]","[""Route optimization""]","[""Native tokens"",""ERC-20""]",$0,FALSE,,,Hybrid,,,"[""Bridge Aggregator"",""Cross-chain swaps""]"
celer,Celer,,"[""[Bridge](https://cbridge.celer.network)"",""[Docs](https://cbridge-docs.celer.network/)""]",Lock & Mint + Message Passing,NULL,NULL,TRUE,"[""Contact us form""]",FALSE,"[""REST"",""SDK"",""WebSocket""]","[""Transaction Monitoring"",""[CelerScan](https://celerscan.com/)""]","[""Decentralized cross‑chain transfers""]","[""wFIL"",""wETH"",""wBTC"",""USDC"",""USDT""]",Gas Fee,TRUE,[Optimistic-rollup + two-phase commit confirm pattern for cross-chain messages](https://cbridge-docs.celer.network/introduction/cbridge-security),"[""January 2023, by CertiK"", ""January 2023, by PeckShield"", ""January 2023, by SlowMist""]",Decentralized,"[""Node.JS""]","[""ethereum"",""polygon"",""bnb chain"",""avalanche"",""arbitrum"",""optimism"",""base"",""linea"",""astar"",""shiden"",""fantom"",""unichain"",""zksync era"",""arbitrum nova"",""aptos"",""flow evm"",""metis"",""oasis emerald"",""evmos"",""aurora"",""moonbeam"",""moonriver"",""boba"",""gnosis"",""aura mainnet"",""bitcoin"",""blast"",""conflux"",""filecoin"",""flow cadence"",""gravity alpha mainnet"",""injective"",""kava evm co-chain"",""klaytn"",""manta pacific mainnet"",""milkomeda c1"",""oasis sapphire"",""oasis hub-layer"",""platon"",""redbelly"",""sx"",""scroll"",""sui mainnet"",""x layer"",""opbnb""]",
chainlink-bridge,Chainlink,Bridge,"[""[Bridge](https://chain.link/cross-chain)""]",Oracle‑Powered Asset & Messaging Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Messaging"",""Token Transfer""]",,"[""Based on Chainlink CCIP"",""Enterprise‑grade relayer architecture""]","[""ERC‑20"",""Stablecoins"",""NFT""]",Gas Fee + relayer fee,TRUE,Security by Chainlink decentralized oracle network,"[""Multiple audits""]",Decentralized,"[""TypeScript""]","[""ethereum"",""arbitrum"",""avalanche"",""base"",""optimism"",""linea"",""mantle"",""bnb chain"",""polygon"",""aptos"",""solana"",""celo"",""blast"",""gnosis"",""metis"",""astar"",""mode""]",
