slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
4everland-storage-free,4everland,,"[""[Website](https://www.4everland.org/bucket/)"",""[Docs](https://docs.4everland.org/storage/bucket)""]",Storage,"[""IPFS"",""Arweave"",""Pinning Service"",""S3-compatible API""]",$0,Free,Standard,"Free monthly storage allocation for uploading, pinning, managing, and retrieving files through IPFS and Arweave, with dashboard access, a Storage SDK, a Pinning Services API, and an S3-compatible Bucket API.",FALSE
akave-cloud-business,Akave,,"[""[Contact](https://akave.com/akave-cloud-pricing)"",""[Docs](https://docs.akave.xyz/)""]",Storage,"[""S3-compatible"",""Filecoin"",""Verifiable storage"",""Immutable audit trail""]",Custom,Enterprise,Business,"Custom enterprise object storage with dedicated support, tailored capacity, Filecoin-backed verification, and S3-compatible access.",FALSE
akave-cloud-plus,Akave,,"[""[Buy](https://akave.com/akave-cloud-pricing)"",""[Docs](https://docs.akave.xyz/)""]",Storage,"[""S3-compatible"",""Filecoin"",""Verifiable storage"",""Unlimited egress""]",$14.99/TB/mo,Pay-As-You-Go,Plus,"S3-compatible Filecoin-backed object storage with an immutable audit trail and unlimited free egress.",FALSE
akave-cloud-standard,Akave,,"[""[Buy](https://akave.com/akave-cloud-pricing)"",""[Docs](https://docs.akave.xyz/)""]",Storage,"[""S3-compatible"",""Filecoin"",""Verifiable storage"",""Immutable audit trail""]",$5.99/TB/mo,Pay-As-You-Go,Standard,"S3-compatible Filecoin-backed object storage with an immutable audit trail and free egress up to three times the stored volume.",FALSE
aleph-cloud-block-storage,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",up to $0.0033,Pay-As-You-Go,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
aleph-cloud-enterprise,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",Custom,Enterprise,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
aleph-cloud-gpu-cloud,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",up to $0.055/h,Pay-As-You-Go,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
aleph-cloud-vps,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",up to $0.0143/h,Pay-As-You-Go,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
arweave,Arweave,,"[""[Website](https://arweave.org/)"",""[Docs](https://docs.arweave.org/developers)""]",Storage,"[""Permanent storage"",""Decentralized""]",Custom,Pay-As-You-Go,,Permanent decentralized data storage protocol using a blockchain structure to incentivize indefinite storage of data,FALSE
bluzelle,Bluzelle,,"[""[Website](https://www.bluzelle.com/storage)""]",Storage,"[""Database Data & File Storage""]",$0,Free,,It is web3 storage that ensure creators control their intellectual property free from gatekeepers,FALSE
